name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
Kepler-385 c,Confirmed,,,,,,,0.21064,0.01303,0.04898,15.16213142,0.00014321,0.00014321,,,,,,,89.2315,7.134,0.7683,,2014,17-10-2024,,,,,,,,,,2455796.231,0.008835,0.008835,,,,,,,0.94,0.33,0.33,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,Primary Transit,"2MASS J19372123+5020115 c, K02433.01, KIC 11968463 c, WISE J193721.24+502011.4 c",,Kepler-385,294.338483,50.336544,,,14.156,13.851,13.819,1493.94,49.82,49.82,-0.034,,,1.09,,,1.13,0.56,0.56,,,,,6326,250,250,,,"2MASS J19372123+5020115, KIC 11968463, KOI-2433, WISE J193721.24+502011.4"
Kepler-385 d,Confirmed,,,,,,,0.21617,0.01436,0.0187,56.41581418,0.00134877,0.00134877,,,,,,,89.8225,0.6797,0.1773,,2020,17-10-2024,,,,,,,,,,2455795.94,0.012769,0.012769,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19372123+5020115 d, K02433.03, KIC 11968463 d, KOI-2433 d, KOI-2433.03, WISE J193721.24+502011.4 d",,Kepler-385,294.338483,50.336544,,,14.156,13.851,13.819,1493.94,49.82,49.82,-0.034,,,1.09,,,1.13,0.56,0.56,,,,,6326,250,250,,,"2MASS J19372123+5020115, KIC 11968463, KOI-2433, WISE J193721.24+502011.4"
Kepler-386 b,Confirmed,,,,,,,0.13338,0.018,0.0312,12.31043,0.000218,0.000218,0.096,,,,,,,,,,2014,17-10-2024,,,,,,,,,,2454974.872,0.006,0.006,,,,,,,0.8,0.29,0.29,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,"2MASS J19192612+4841378 b, K02442.02, KIC 11080405 b, KOI-2442 b, KOI-2442.02, WISE J191926.15+484137.8  b",,Kepler-386,289.858871,48.693855,,,14.183,13.754,13.605,904.74,29.69,29.69,-0.225,,,0.74,,,0.77,0.43,0.43,,,,,5178,200,200,,,"2MASS J19192612+4841378, KIC 11080405, KOI-2442, WISE J191926.15+484137.8"
Kepler-386 c,Confirmed,,,,,,,0.17183,0.017,0.0375,25.193458,0.000342,0.000342,0.155,,,,,,,,,,2014,17-10-2024,,,,,,,2454979.432,0.0082,0.0082,2454979.422,0.0054,0.0054,,,,,,,0,0.22,0.22,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,"2MASS J19192612+4841378 c, K02442.01, KIC 11080405 c, KOI-2442 c, KOI-2442.01, WISE J191926.15+484137.8  c",,Kepler-386,289.858871,48.693855,,,14.183,13.754,13.605,904.74,29.69,29.69,-0.225,,,0.74,,,0.77,0.43,0.43,,,,,5178,200,200,,,"2MASS J19192612+4841378, KIC 11080405, KOI-2442, WISE J191926.15+484137.8"
Kepler-387 b,Confirmed,,,,,,,0.092,0.021,0.021,6.791636,9.40E-05,9.40E-05,0.068,,,,,,,,,,2014,05-02-2021,,,,,,,2454969.487,0.00817,0.00817,,,,,,,,,,0.03,0.22,0.22,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19111156+4539241 b, K02443.01, KIC 9209624 b, KOI-2443 b, KOI-2443.01, WISE J191111.58+453924.2  b",,Kepler-387,287.798184,45.656715,,,12.909,12.608,12.536,819.95,11.21,11.21,-0.233,,,1.03,,,1.05,0.24,0.24,,,,,5774,154,154,,,"2MASS J19111156+4539241, KIC 9209624, KOI-2443, WISE J191111.58+453924.2"
Kepler-387 c,Confirmed,,,,,,,0.079,0.02,0.02,11.837549,0.000329,0.000329,0.098,,,,,,,,,,2014,05-02-2021,,,,,,,2454975.212,0.01677,0.01677,,,,,,,,,,0.13,0.23,0.23,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19111156+4539241 c, K02443.02, KIC 9209624 c, KOI-2443 c, KOI-2443.02, WISE J191111.58+453924.2  c",,Kepler-387,287.798184,45.656715,,,12.909,12.608,12.536,819.95,11.21,11.21,-0.233,,,1.03,,,1.05,0.24,0.24,,,,,5774,154,154,,,"2MASS J19111156+4539241, KIC 9209624, KOI-2443, WISE J191111.58+453924.2"
Kepler-388 Ab,Confirmed,,,,,,,0.072,0.009,0.009,3.173315,1.80E-05,1.80E-05,0.036,,,,,,,,,,2014,01-03-2025,,,,,,,2454966.7,0.0035,0.0035,,,,,,,,,,0.2,0.24,0.24,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J18591872+4436314 b, K02466.01, KIC 8544992 b, KOI-2466 b, KOI-2466.01, WISE J185918.73+443631.2  b",,Kepler-388 A,284.828038,44.60873,,,13.261,12.657,12.544,611.32,65.09,65.09,-0.329,,,0.59,,,0.59,0.07,0.07,K5V,,,,4498,200,200,,,"2MASS J18591872+4436314, KIC 8544992, KOI-2466, WISE J185918.73+443631.2"
Kepler-388 Ac,Confirmed,,,,,,,0.077,0.01,0.01,13.297004,0.000185,0.000185,0.093,,,,,,,,,,2014,01-03-2025,,,,,,,2454973.948,0.00559,0.00559,,,,,,,,,,0.18,0.23,0.23,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J18591872+4436314 c, K02466.02, KIC 8544992 c, KOI-2466 c, KOI-2466.02, WISE J185918.73+443631.2  c",,Kepler-388 A,284.828038,44.60873,,,13.261,12.657,12.544,611.32,65.09,65.09,-0.329,,,0.59,,,0.59,0.07,0.07,K5V,,,,4498,200,200,,,"2MASS J18591872+4436314, KIC 8544992, KOI-2466, WISE J185918.73+443631.2"
Kepler-389 b,Confirmed,,,,,,,0.135,0.069,0.069,3.244107,3.00E-05,3.00E-05,0.041,,,,,,,,,,2014,05-02-2021,,,,,,,2454965.944,0.00642,0.00642,,,,,,,,,,0.25,0.22,0.22,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19275040+4454000 b, K02473.01, KIC 8753896 b, KOI-2473 b, KOI-2473.01, WISE J192750.39+445400.1 b",,Kepler-389,291.960005,44.900024,,,14.417,13.903,13.896,835.65,22.57,22.57,-0.191,,,0.78,,,0.79,0.4,0.4,,,,,5376,250,250,,,"2MASS J19275040+4454000, KIC 8753896, KOI-2473, WISE J192750.39+445400.1"
Kepler-389 c,Confirmed,,,,,,,0.13,0.067,0.067,14.51143,0.000305,0.000305,0.11,,,,,,,,,,2014,05-02-2021,,,,,,,2454976.86,0.01341,0.01341,,,,,,,,,,0.31,0.21,0.21,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19275040+4454000 c, K02473.03, KIC 8753896 c, KOI-2473 c, KOI-2473.03, WISE J192750.39+445400.1 c",,Kepler-389,291.960005,44.900024,,,14.417,13.903,13.896,835.65,22.57,22.57,-0.191,,,0.78,,,0.79,0.4,0.4,,,,,5376,250,250,,,"2MASS J19275040+4454000, KIC 8753896, KOI-2473, WISE J192750.39+445400.1"
Kepler-38 (AB)b,Confirmed,0.38,0.38,0,,,,0.39,0.01,0.01,105.595,0.038,0.038,0.4644,0.0082,0.0082,,,,89.446,0.026,0.026,,2012,12-08-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-38 A,286.8292,42.2792,14.3,,,,,,,,-0.158,,,0.949,0.059,0.059,1.757,0.034,0.034,,,,,5640,,,,,
Kepler-390 Ab,Confirmed,,,,,,,0.0651,0.0036,0.0036,6.73808701,4.47E-05,4.47E-05,0.0647,,,0,,,89.57,,,,2014,03-08-2024,,,,,,,2454966.323,0.00634,0.00634,,,,,,,,,,0.148,0.148,0.321,,,,,,,786,,,,,,,,,Announced on a website,Primary Transit,,Primary Transit,"WISE J192630.91+411231.5 b, Kepler-390 b, KOI-2498 b, KOI-2498.01, K02498.01, KIC 5959719 b, 2MASS J19263090+4112309 b",,Kepler-390 A,291.628777,41.208603,,,12.584,12.194,12.075,435.277,3.725,3.725,-0.044,0.0125,0.0125,0.877,,,0.829,,,G9/K0V,3.24,1.63,2.9,5174.86,106.469,106.469,,,"WISE J192630.91+411231.5, Kepler-390, KOI-2498, KIC 5959719, 2MASS J19263090+4112309"
Kepler-390 Ac,Confirmed,,,,,,,0.071,0.0036,0.0054,13.0600399,0.0001119,0.0001119,0.1006,,,0,,,89.08,,,,2014,03-08-2024,,,,,,,2454977.331,0.00969,0.00969,,,,,,,,,,0.495,0.449,0.027,,,,,,,630,,,,,,,,,Announced on a website,Primary Transit,,Primary Transit,"Kepler-390 c, KOI-2498 c, KOI-2498.02, K02498.02, KIC 5959719 c, 2MASS J19263090+4112309 c, WISE J192630.91+411231.5 c",,Kepler-390 A,291.628777,41.208603,,,12.584,12.194,12.075,435.277,3.725,3.725,-0.044,0.0125,0.0125,0.877,,,0.829,,,G9/K0V,3.24,1.63,2.9,5174.86,106.469,106.469,,,"WISE J192630.91+411231.5, Kepler-390, KOI-2498, KIC 5959719, 2MASS J19263090+4112309"
Kepler-391 b,Confirmed,,,,,,,0.02543,0.0062,0.0062,7.416755,0.000129,0.000129,0.082,,,0.46,0.46,0,85.5,1.7,2,,2014,05-02-2021,103,46,53,,,,2454970.959,0.01172,0.01172,2455690.396,0.0089,0.013,,,,,,,0.38,0.26,0.23,,,,,,,930,140,37,,,,,,,Announced on a website,Primary Transit,TTV,,"2MASS J19222923+5103262 b, K02541.01, KIC 12306058 b, KOI-2541 b, KOI-2541.01, WISE J192229.24+510326.4  b",,Kepler-391,290.621815,51.057304,,,11.564,11.072,10.97,891.53,13.32,13.32,0.02,,,1.22,,,3.57,0.85,0.85,,,,,4940,100,100,,,"2MASS J19222923+5103262, KIC 12306058, KOI-2541, WISE J192229.24+510326.4"
Kepler-391 c,Confirmed,1.416,1.413,0,,,,0.316,0.077,0.077,20.485435,0.000393,0.000393,0.161,,,0.27,0.27,0,87.27,0.48,0.72,,2014,05-02-2021,126,63,100,,,,2454979.924,0.01078,0.01078,2455696.912,0.0074,0.0085,,,,,,,0.11,0.23,0.23,,,,,,,662,97,89,,,,,,,Announced on a website,Primary Transit,TTV,Primary Transit,"2MASS J19222923+5103262 c, K02541.02, KIC 12306058 c, KOI-2541 c, KOI-2541.02, WISE J192229.24+510326.4  c",,Kepler-391,290.621815,51.057304,,,11.564,11.072,10.97,891.53,13.32,13.32,0.02,,,1.22,,,3.57,0.85,0.85,,,,,4940,100,100,,,"2MASS J19222923+5103262, KIC 12306058, KOI-2541, WISE J192229.24+510326.4"
Kepler-392 b,Confirmed,,,,,,,0.089,0.019,0.019,5.341853,5.50E-05,5.50E-05,0.059,,,,,,,,,,2014,05-02-2021,,,,,,,2454969.301,0.00756,0.00756,,,,,,,,,,0.24,0.21,0.21,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19143858+4322051 b, K02585.01, KIC 7673841 b, KOI-2585 b, KOI-2585.01, WISE J191438.58+432205.3  b",,Kepler-392,288.660765,43.368084,,,12.414,12.151,12.121,695.06,7.92,7.92,-0.297,,,1.13,,,1.13,0.23,0.23,,,,,5938,226,226,,,"2MASS J19143858+4322051, KIC 7673841, KOI-2585, WISE J191438.58+432205.3"
Kepler-392 c,Confirmed,,,,,,,0.098,0.021,0.021,10.423118,8.70E-05,8.70E-05,0.093,,,,,,,,,,2014,05-02-2021,,,,,,,2454968.153,0.00501,0.00501,,,,,,,,,,0.08,0.24,0.24,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19143858+4322051 c, K02585.02, KIC 7673841 c, KOI-2585 c, KOI-2585.02, WISE J191438.58+432205.3  c",,Kepler-392,288.660765,43.368084,,,12.414,12.151,12.121,695.06,7.92,7.92,-0.297,,,1.13,,,1.13,0.23,0.23,,,,,5938,226,226,,,"2MASS J19143858+4322051, KIC 7673841, KOI-2585, WISE J191438.58+432205.3"
Kepler-393 Ab,Confirmed,,,,,,,0.115,0.022,0.022,9.182417,9.60E-05,9.60E-05,0.091,,,,,,,,,,2014,01-03-2025,,,,,,,2454967.048,0.0056,0.0056,,,,,,,,,,0.63,0.26,0.26,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19235886+4511319 b, K02595.01, KIC 8883329 b, KOI-2595 b, KOI-2595.01, WISE J192358.86+451131.8  b",,Kepler-393 A,290.995257,45.192215,,,12.325,12.087,11.995,904.28,14.42,14.42,-0.217,,,1.32,,,1.38,0.26,0.26,F8V,,,,6189,100,100,,,"2MASS J19235886+4511319, KIC 8883329, KOI-2595, WISE J192358.86+451131.8"
Kepler-393 Ac,Confirmed,,,,,,,0.119,0.028,0.028,14.613612,0.000231,0.000231,0.124,,,,,,,,,,2014,01-03-2025,,,,,,,2454973.412,0.00736,0.00736,,,,,,,,,,0.76,0.29,0.29,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19235886+4511319 c, K02595.02, KIC 8883329 c, KOI-2595 c, KOI-2595.02, WISE J192358.86+451131.8  c",,Kepler-393 A,290.995257,45.192215,,,12.325,12.087,11.995,904.28,14.42,14.42,-0.217,,,1.32,,,1.38,0.26,0.26,F8V,,,,6189,100,100,,,"2MASS J19235886+4511319, KIC 8883329, KOI-2595, WISE J192358.86+451131.8"
Kepler-394 b,Confirmed,,,,,,,0.143,0.073,0.073,8.005013,9.00E-05,9.00E-05,0.083,,,,,,,,,,2014,05-02-2021,,,,,,,2454971.711,0.00687,0.00687,,,,,,,,,,0.24,0.24,0.24,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19451246+5040203 b, K02597.01, KIC 12120307 b, KOI-2597 b, KOI-2597.01, WISE J194512.46+504020.2  b",,Kepler-394,296.301953,50.672318,,,13.724,13.436,13.384,1091.69,25.4,25.4,-0.129,,,1.11,,,1.13,0.58,0.58,,,,,6402,200,200,,,"2MASS J19451246+5040203, KIC 12120307, KOI-2597, WISE J194512.46+504020.2"
Kepler-394 c,Confirmed,,,,,,,0.148,0.077,0.077,12.130686,0.00018,0.00018,0.11,,,,,,,,,,2014,05-02-2021,,,,,,,2454972.897,0.00918,0.00918,,,,,,,,,,0.45,0.24,0.24,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19451246+5040203 c, K02597.02, KIC 12120307 c, KOI-2597 c, KOI-2597.02, WISE J194512.46+504020.2  c",,Kepler-394,296.301953,50.672318,,,13.724,13.436,13.384,1091.69,25.4,25.4,-0.129,,,1.11,,,1.13,0.58,0.58,,,,,6402,200,200,,,"2MASS J19451246+5040203, KIC 12120307, KOI-2597, WISE J194512.46+504020.2"
Kepler-394 d,Confirmed,,,,,,,0.134,,,5.613580227,,,0.0646,,,0,,,89.54,,,,2017,09-06-2024,,,,,,,,,,2454964.817,0.0054,0.0054,,,,,,,0.119,0.119,0.328,,,,,,,1197,,,,,,,,,Announced on a website,Primary Transit,,Primary Transit,"KOI-2597 d, KOI-2597.03",,Kepler-394,296.301953,50.672318,,,13.724,13.436,13.384,1091.69,25.4,25.4,-0.129,,,1.11,,,1.13,0.58,0.58,,,,,6402,200,200,,,"2MASS J19451246+5040203, KIC 12120307, KOI-2597, WISE J194512.46+504020.2"
Kepler-395 b,Confirmed,,,,,,,0.092,0.007,0.007,7.054346,7.00E-05,7.00E-05,0.061,,,,,,,,,,2014,05-02-2021,,,,,,,2454969.191,0.00566,0.00566,,,,,,,,,,0.09,0.24,0.24,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19340266+4508117 b, K02650.02, KIC 8890150 b, KOI-2650 b, KOI-2650.02, WISE J193402.67+450811.8  b",,Kepler-395,293.511099,45.136598,,,13.818,13.131,12.948,426.34,8.22,8.22,-0.163,,,0.53,,,0.56,0.02,0.02,,,,,4262,100,100,,,"2MASS J19340266+4508117, KIC 8890150, KOI-2650, WISE J193402.67+450811.8"
Kepler-395 c,Confirmed,,,,,,,0.118,0.008,0.008,34.989262,0.000543,0.000543,0.177,,,,,,,,,,2014,05-02-2021,,,,,,,2454977.223,0.00909,0.00909,,,,,,,,,,0.4,0.23,0.23,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19340266+4508117 c, K02650.01, KIC 8890150 c, KOI-2650 c, KOI-2650.01, WISE J193402.67+450811.8  c",,Kepler-395,293.511099,45.136598,,,13.818,13.131,12.948,426.34,8.22,8.22,-0.163,,,0.53,,,0.56,0.02,0.02,,,,,4262,100,100,,,"2MASS J19340266+4508117, KIC 8890150, KOI-2650, WISE J193402.67+450811.8"
Kepler-396 b,Confirmed,0.238,0.018,0.037,,,,0.312,0.058,0.114,42.994,,,0.36709,,,,,,,,,,2013,05-02-2021,,,,,,,,,,2455015.653,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19443187+4858386 b, K02672.02, KIC 11253827 b, KOI-2672 b, KOI-2672.02, WISE J194431.87+485838.4  b",,Kepler-396,296.132818,48.977402,,,10.672,10.356,,225.19,1.81,1.81,-0.129,,,0.81,1.3,0.58,1.17,0.41,0.41,,,,,5384,,,,,"2MASS J19443187+4858386, KIC 11253827, KOI-2672, WISE J194431.87+485838.4"
Kepler-396 c,Confirmed,0.056,0.004,0.009,,,,0.473,0.088,0.174,88.505,,,0.22662,,,,,,,,,,2013,05-02-2021,,,,,,,,,,2454995.512,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J19443187+4858386 c, K02672.01, KIC 11253827 c, KOI-2672 c, KOI-2672.01, WISE J194431.87+485838.4  c",,Kepler-396,296.132818,48.977402,,,10.672,10.356,,225.19,1.81,1.81,-0.129,,,0.81,1.3,0.58,1.17,0.41,0.41,,,,,5384,,,,,"2MASS J19443187+4858386, KIC 11253827, KOI-2672, WISE J194431.87+485838.4"
Kepler-397 Ab,Confirmed,,,,,,,0.219,1.902,1.902,22.250949,0.000186,0.000186,0.144,,,,,,,,,,2014,25-02-2025,,,,,,,2454982.431,0.00524,0.00524,,,,,,,,,,0.94,0.42,0.42,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19433458+4222496 b, K02681.02, KIC 6878240 b, KOI-2681 b, KOI-2681.02, WISE J194334.59+422249.5 b",,Kepler-397 A,295.894109,42.380451,,,14.587,14.123,13.9,969,41,44.63,-0.035,,,,,,0.77,0.07,0.07,G8V,,,,5307,100,100,,,"2MASS J19433458+4222496, KIC 6878240, KOI-2681, WISE J194334.59+422249.5"
Kepler-397 Ac,Confirmed,,,,,,,0.551,0.05,0.05,135.498527,0.000668,0.000668,0.48,,,,,,,,,,2014,25-02-2025,,,,,,,2455066.69,0.00246,0.00246,,,,,,,,,,0.84,0.04,0.04,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19433458+4222496 c, K02681.01, KIC 6878240 c, KOI-2681 c, KOI-2681.01, WISE J194334.59+422249.5 c",,Kepler-397 A,295.894109,42.380451,,,14.587,14.123,13.9,969,41,44.63,-0.035,,,,,,0.77,0.07,0.07,G8V,,,,5307,100,100,,,"2MASS J19433458+4222496, KIC 6878240, KOI-2681, WISE J194334.59+422249.5"
Kepler-398 b,Confirmed,,,,,,,0.083,0.009,0.009,4.081423,1.10E-05,1.10E-05,0.044,,,,,,,,,,2014,05-02-2021,,,,,,,2454966.858,0.00176,0.00176,,,,,,,,,,0.87,0.32,0.32,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19255247+4020378 b, K02693.01, KIC 5185897 b, KOI-2693 b, KOI-2693.01, WISE J192552.51+402037.4  b",,Kepler-398,291.468662,40.343853,,,11.514,10.932,10.794,178.27,0.54,0.54,-0.046,,,,,,0.61,0.03,0.03,,,,,4493,100,100,,,"2MASS J19255247+4020378, KIC 5185897, KOI-2693, WISE J192552.51+402037.4"
Kepler-398 c,Confirmed,,,,,,,0.09,0.01,0.01,11.419412,4.70E-05,4.70E-05,0.087,,,,,,,,,,2014,05-02-2021,,,,,,,2454975.118,0.00271,0.00271,,,,,,,,,,0.9,0.34,0.34,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19255247+4020378 c, K02693.02, KIC 5185897 c, KOI-2693 c, KOI-2693.02, WISE J192552.51+402037.4  c",,Kepler-398,291.468662,40.343853,,,11.514,10.932,10.794,178.27,0.54,0.54,-0.046,,,,,,0.61,0.03,0.03,,,,,4493,100,100,,,"2MASS J19255247+4020378, KIC 5185897, KOI-2693, WISE J192552.51+402037.4"
Kepler-398 d,Confirmed,,,,,,,0.079,0.004,0.003,6.83437001,1.52E-05,1.52E-05,,,,,,,,,,,2016,05-02-2021,,,,,,,2454969.863,0.0018,0.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19255247+4020378 d, K02693.03, KIC 5185897 d, KOI-2693 d, KOI-2693.03, WISE J192552.51+402037.4 d",,Kepler-398,291.468662,40.343853,,,11.514,10.932,10.794,178.27,0.54,0.54,-0.046,,,,,,0.61,0.03,0.03,,,,,4493,100,100,,,"2MASS J19255247+4020378, KIC 5185897, KOI-2693, WISE J192552.51+402037.4"
Kepler-399 b,Confirmed,,,,,,,0.086,0.045,0.045,14.425281,0.000144,0.000144,0.103,,,,,,,,,,2014,05-02-2021,,,,,,,2454969.752,0.00606,0.00606,,,,,,,,,,0.21,0.23,0.23,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19580041+4040148 b, K02707.02, KIC 5480640 b, KOI-2707 b, KOI-2707.02, WISE J195800.41+404014.5  b",,Kepler-399,299.501738,40.670806,,,13.175,12.779,12.698,1362.18,199.6,199.6,-0.827,,,,,,0.68,0.36,0.36,,,,,5502,200,200,,,"2MASS J19580041+4040148, KIC 5480640, KOI-2707, WISE J195800.41+404014.5"
Kepler-399 c,Confirmed,,,,,,,0.128,0.069,0.069,26.67569,0.000171,0.000171,0.155,,,,,,,,,,2014,05-02-2021,,,,,,,2454982.999,0.0043,0.0043,,,,,,,,,,0.18,0.23,0.23,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19580041+4040148 c, K02707.03, KIC 5480640 c, KOI-2707 c, KOI-2707.03, WISE J195800.41+404014.5  c",,Kepler-399,299.501738,40.670806,,,13.175,12.779,12.698,1362.18,199.6,199.6,-0.827,,,,,,0.68,0.36,0.36,,,,,5502,200,200,,,"2MASS J19580041+4040148, KIC 5480640, KOI-2707, WISE J195800.41+404014.5"
